asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B000BRUGKQ,Mens Heavy Blend Hooded Sweatshirt,https://m.media-amazon.com/images/I/61-fi93LPoL._AC_UL320_.jpg,https://www.amazon.com/dp/B000BRUGKQ,4.5,0,21.99,0.0,110,False,100
B01MY10ZEG,10P Pack Men's Cotton Moisture Wicking Cushion Low Cut Socks,https://m.media-amazon.com/images/I/5122ZTOEp9L._AC_UL320_.jpg,https://www.amazon.com/dp/B01MY10ZEG,4.6,0,21.99,39.99,110,False,1000
B09R2XGLBW,Men's Elastic Drawstring Waist Scrub Pant,https://m.media-amazon.com/images/I/715GAtJ1SWL._AC_UL320_.jpg,https://www.amazon.com/dp/B09R2XGLBW,4.2,0,32.0,0.0,110,False,100
B06WP2MM64,Fox River - Wick Dry CoolMax Liner Socks - 3 Pack,https://m.media-amazon.com/images/I/713aV6-frRL._AC_UL320_.jpg,https://www.amazon.com/dp/B06WP2MM64,4.6,0,29.99,0.0,110,False,50
B09CPPZSVC,Women's Sexy Elegant Ruffle Long Sleeve Off Shoulder Ruched Party Mini Dress,https://m.media-amazon.com/images/I/51IPYSEvqxL._MCnd_AC_UL320_.jpg,https://www.amazon.com/dp/B09CPPZSVC,4.4,0,38.99,45.99,116,False,300
B09BN4BBBG,Women's Graphic Print Blazer Button Open Front Long Sleeve Jacket Multicolored,https://m.media-amazon.com/images/I/710WftfVL1L._AC_UL320_.jpg,https://www.amazon.com/dp/B09BN4BBBG,4.1,0,39.99,0.0,116,False,50
B08N5K6DT1,"Girls' Seamless Soft Cup Bra, 2-Pack",https://m.media-amazon.com/images/I/61osn5wDn+L._AC_UL320_.jpg,https://www.amazon.com/dp/B08N5K6DT1,4.3,0,9.94,17.0,116,False,100
B097P3DGGP,Women's Crewneck Tunics Color Block Comfy Soft Long Sleeve T Shirt Tops,https://m.media-amazon.com/images/I/615XyovH7mL._AC_UL320_.jpg,https://www.amazon.com/dp/B097P3DGGP,4.0,0,0.0,0.0,116,False,50
B01CSC6MM2,Women's Faux Leather Moto Biker Short Coat Jacket,https://m.media-amazon.com/images/I/61fexFTTHDL._AC_UL320_.jpg,https://www.amazon.com/dp/B01CSC6MM2,4.3,0,37.39,56.99,116,False,100
B089SZ26DR,"Lightweight Women's 28""/30""/32""/34""/36"" Tall Inseam Cotton Soft Jogger with Zipper Pockets Cargo Pants",https://m.media-amazon.com/images/I/51dpvtmtkJL._AC_UL320_.jpg,https://www.amazon.com/dp/B089SZ26DR,4.3,0,37.99,0.0,116,False,200
B01MU8SKPF,Women's Plus Size Nursing Bra Support Nursing Sports Bra Cotton Breastfeeding Maternity Bras,https://m.media-amazon.com/images/I/81fjG7Y7ZgL._AC_UL320_.jpg,https://www.amazon.com/dp/B01MU8SKPF,4.5,0,23.99,0.0,116,False,100
